id,illnessName,instGovernedBy,isTypeOf,relatedTo,subRelatedTo
299,Ganglion Cyst,National Institute of Arthritis and Musculoskeletal and Skin Diseases,Injuries and Wounds,Wrist Injuries and Disorders,"[u'Arthritis of the Wrist', u""De Quervain's Tendinosis"", u""De Quervain's Tenosynovitis"", u'Distal Radius Fracture (Broken Wrist)', u'Ganglion Cyst of the Wrist and Hand', u'Golf Injuries to the Hand, Wrist, or Elbow', u""Kienb\xf6ck's Disease"", u'Scaphoid Fracture of the Wrist', u'Wrist Fractures', u'Wrist Sprains', u'Arm MRI scan', u'Colles wrist fracture - aftercare', u'De Quervain tendinitis', u'Wrist arthroscopy', u'Wrist pain', u'Wrist sprain - aftercare', u'Arm Injuries and Disorders', u'Carpal Tunnel Syndrome', u'Elbow Injuries and Disorders', u'Hand Injuries and Disorders', u'Shoulder Injuries and Disorders']"
300,Hand Injuries and Disorders,National Institute of Arthritis and Musculoskeletal and Skin Diseases,Injuries and Wounds,Hand Injuries and Disorders,"[u'Animal Bites of the Hand', u'Arthritis of the Hand', u'Arthritis of the hand - Rheumatoid', u'Cold Hands', u'Ganglion Cysts', u'Hand and Wrist Tumors', u'Hand Fractures', u'Hand Infections', u'Itchy Hands or Feet', u'MP Joint Arthritis', u""Musician's Dystonias"", u'Osteoarthritis of the Hand', u'Skin Cancer of the Hand and Upper Extremity', u'Vascular Disorders', u""Writer's Cramp"", u'Brachial plexopathy', u'Claw hand', u'Dupuytrens contracture', u'Extremity x-ray', u'Hand fracture - aftercare', u'Hand or foot spasms', u'Hand splint - slideshow', u'Hand x-ray', u'Radial nerve dysfunction', u'Simian crease', u'Tremor', u'Ulnar nerve dysfunction', u'Volkmann ischemic contracture', u'Carpal Tunnel Syndrome', u'Elbow Injuries and Disorders', u'Finger Injuries and Disorders', u""Raynaud's Disease"", u'Shoulder Injuries and Disorders', u'Wrist Injuries and Disorders']"
301,Heat Exhaustion,National Institute on Aging,Injuries and Wounds,Heat Illness,"[u'Heat Exhaustion and Heatstroke', u'Heat Stress', u'Heat Waves', u'Miliaria Rubra', u'Heat emergencies', u'Heat intolerance', u'How to avoid overheating during exercise', u'Dehydration', u'Sun Exposure']"
302,Hip Injuries and Disorders,National Institute of Arthritis and Musculoskeletal and Skin Diseases,Injuries and Wounds,Hip Injuries and Disorders,"[u'Femoroacetabular Impingement (FAI)', u'Fracture After Total Hip Replacement', u'Hip Fracture', u'Hip Labral Tear', u'Pigmented Villonodular Synovitis (PVNS)', u'Developmental dysplasia of the hip', u'Getting your home ready - knee or hip surgery', u'Hip arthroscopy', u'Hip flexor strain -- aftercare', u'Hip fracture - discharge', u'Hip fracture surgeries', u'Hip joint injection', u'Hip pain', u'Legg-Calve-Perthes disease', u'Pelvis x-ray', u'Slipped capital femoral epiphysis', u'Toxic synovitis', u'Trochanteric bursitis', u'Hip Replacement']"
303,Hypothermia,National Institute on Aging,Injuries and Wounds,Hypothermia,"[u'Cold intolerance', u'How to prevent frostbite and hypothermia', u'Hypothermia', u'Frostbite', u'Winter Weather Emergencies']"
304,Inhalation Injuries,,Injuries and Wounds,Inhalation Injuries,[]
305,Injuries,,Injuries and Wounds,Wounds and Injuries,"[u'Diabetic Wound Care', u'Frequently Asked Questions about Surgical Site Infections', u'Internal Bleeding', u'Puncture Wounds', u'Trauma Fact Sheet', u'Bleeding', u'Closed suction drain with bulb', u'Crush injury', u'Cuts and puncture wounds', u'Diagnostic peritoneal lavage - slideshow', u'Electrical injury', u'Genital injury', u'Gunshot wounds -- aftercare', u'Hemovac drain', u'How wounds heal', u'Human bites -- self-care', u'Hyperbaric oxygen therapy', u'Laceration - sutures or staples - at home', u'Lacerations - liquid bandage', u'Skin flaps and grafts -- self-care', u'Sterile technique', u'Sternal exploration or closure', u'Surgical wound care', u'Surgical wound care -- closed', u'Surgical wound infection - treatment', u'Wet to dry dressing changes', u'Wound care centers', u'Bruises', u'Child Safety', u'Electrical Injuries', u'Falls', u'First Aid', u'Foreign Bodies', u'Safety', u'Scars', u'Surgery']"
306,Jaw Injuries and Disorders,,Injuries and Wounds,Jaw Injuries and Disorders,"[u'Difficulty Chewing', u'Fractures of the Jaw and Midface', u'Jaw Dislocation', u'Malocclusion (Misaligned Teeth)', u'Nevoid Basal Cell Carcinoma Syndrome', u'Osteonecrosis of the Jaw (ONJ)', u'Chin augmentation', u'Chin augmentation  - slideshow', u'Jaw - broken or dislocated', u'Malocclusion of teeth', u'Micrognathia', u'Prognathism', u'Facial Injuries and Disorders', u'Mouth Disorders', u'Temporomandibular Joint Dysfunction', u'Trigeminal Neuralgia']"
307,Ligament Injuries,National Institute of Arthritis and Musculoskeletal and Skin Diseases,Injuries and Wounds,Sprains and Strains,"[u'Hamstring Injury', u'Thumb Sprains', u'Whiplash', u'Wrist Sprains', u'Ankle sprain - aftercare', u'Elbow sprain -- aftercare', u'Foot sprain - aftercare', u'Hamstring strain - aftercare', u'Hip flexor strain -- aftercare', u'Sprains', u'Strains', u'Tendon repair', u'Wrist sprain - aftercare', u'Sports Injuries', u'Tendinitis']"
308,Radiation Exposure,National Institute of Environmental Health Sciences,Injuries and Wounds,Radiation Exposure,"[u'Accidents at Nuclear Power Plants and Cancer Risk', u'Acute Radiation Syndrome', u'Cell Phones and Cancer Risk', u'Consumer Products Containing Radioactive Materials', u'FDA Response to the Fukushima Dai-ichi Nuclear Power Facility Incident', u'Frequently Asked Questions about Cell Phones and Your Health', u'Non-Ionizing Radiation Used in Microwave Ovens', u'Radiation Exposure from Medical Exams and Procedures', u'Radiation Exposure in X-Ray and CT Examinations', u'Radiation from Cardiac Imaging Tests', u'Radionuclide Basics: Iodine', u'Radionuclide Basics: Plutonium', u'TENORM (Technologically Enhanced Naturally Occurring Radioactive Materials)', u'Hyperbaric oxygen therapy', u'Radiation sickness', u'Electromagnetic Fields', u'Radiation Emergencies', u'Radiation Therapy', u'Radon', u'Sun Exposure']"
309,Rape,,Injuries and Wounds,Sexual Assault,"[u'Date Rape (For Teens)', u'Date Rape Drugs', u'If Your Child is Raped', u'Men and Sexual Trauma', u'Military Sexual Trauma', u'Sexual Assault against Females', u'Sexual Violence on Campus: Strategies for Prevention', u'What Is Rape and Date Rape?', u'Rape', u'Rape prevention', u'Domestic Violence']"
310,Rotator Cuff Injuries,National Institute of Arthritis and Musculoskeletal and Skin Diseases,Injuries and Wounds,Rotator Cuff Injuries,"[u'Rotator Cuff Tears', u'Shoulder Impingement Syndrome (Beyond the Basics)', u'Shoulder Impingement/Rotator Cuff Tendinitis', u'Rotator cuff - self-care', u'Rotator cuff exercises', u'Rotator cuff problems', u'Rotator cuff repair', u'Shoulder arthroscopy', u'Shoulder replacement', u'Arm Injuries and Disorders', u'Shoulder Injuries and Disorders']"
311,Spinal Cord Injuries,National Institute of Neurological Disorders and Stroke,Injuries and Wounds,Spinal Cord Injuries,"[u'Central Cord Syndrome', u'Central Pain Syndrome', u'Spinal Cord Infarction', u'Autonomic hyperreflexia', u'Daily bowel care program', u'Indwelling catheter care', u'Lumbar MRI scan', u'Self catheterization - female', u'Self catheterization - male', u'Spinal cord stimulation', u'Spinal cord trauma', u'Spinal injury', u'Suprapubic catheter care', u'Thoracic spine CT scan', u'Urinary catheters', u'Urine drainage bags', u'Paralysis']"
312,Sports Injuries,National Institute of Arthritis and Musculoskeletal and Skin Diseases,Injuries and Wounds,Sports Injuries,"[u'Burners', u'Chronic Exertional Compartment Syndrome', u'Chronic Traumatic Encephalopathy', u'Concussion', u'Concussion in Sports', u'Eye Injuries in Sports', u'Facial Sports Injuries', u'Foot Health Facts for Athletes', u'Golf Injuries', u'Golf Injuries to the Hand, Wrist, or Elbow', u""Golfer's Elbow"", u'Hamstring Injury', u'Patellofemoral Pain Syndrome', u'Shin Splints', u'Shoulder Impingement/Rotator Cuff Tendinitis', u'Shoulder Instability', u'Sports Hernia (Athletic Pubalgia)', u'Sports Injuries to the Foot and Ankle', u'Sprains and Strains', u'Stress Fractures', u'Tennis Elbow', u'Tennis Elbow (Lateral Epicondylitis)', u'Achilles tendon repair', u'ACL reconstruction', u'Acute mountain sickness', u'Back pain and sports', u'Concussion', u'How to avoid exercise injuries', u'Lactic acidosis', u""Medial epicondylitis - golfer's elbow"", u'Osgood-Schlatter disease', u'Returning to sports after a back injury', u'Rotator cuff problems', u'Shin splints - self-care', u'Tennis elbow', u'Ankle Injuries and Disorders', u'Concussion', u'Elbow Injuries and Disorders', u'Foot Injuries and Disorders', u'Hand Injuries and Disorders', u'Knee Injuries and Disorders', u'Shoulder Injuries and Disorders', u'Sports Fitness', u'Sprains and Strains']"
313,TBI,National Institute of Neurological Disorders and Stroke,Injuries and Wounds,Traumatic Brain Injury,"[u'Cerebral Contusions and Lacerations', u'Cerebral Hypoxia', u'Chronic Traumatic Encephalopathy', u'Intracranial Hematoma', u'Recreation-Related Head Injuries', u'Right Hemisphere Brain Damage', u'Severe Traumatic Brain Injury', u'Traumatic Brain Injury: Effects on the Endocrine System', u'Brain components', u'Brain herniation', u'Brain injury - discharge', u'Cerebral hypoxia', u'Chronic subdural hematoma', u'CPK isoenzymes test', u'CSF leak', u'EEG', u'Epidural hematoma', u'Head CT scan', u'Head injury - first aid', u'Intracranial pressure monitoring', u'Shaken baby syndrome', u'Skull x-ray', u'Subdural hematoma', u'Coma', u'Concussion', u'Head Injuries']"
314,ADD,National Institute of Mental Health,Mental Health and Behavior,Attention Deficit Hyperactivity Disorder,"[u'College Students with ADHD', u'Attention deficit hyperactivity disorder (ADHD)', u'Hyperactivity', u'Hyperactivity and sugar', u'Medicines for ADHD', u'Child Behavior Disorders', u'Learning Disorders']"
315,Adolescent Development,National Institute of Child Health and Human Development,Mental Health and Behavior,Teen Development,"[u'Am I in a Healthy Relationship? (For Teens)', u'Body Image and Self-Esteem (For Teens)', u'Body Odor (For Young Men)', u'Body Odor (For Young Women)', u'Gynecomastia (For Teens)', u'Help! Is This My Body? (For Teens)', u'Is My Penis Normal? (For Teens)', u'Removing Pubic Hair (For Young Men)', u'Removing Pubic Hair (For Young Women)', u'Sexual Attraction and Orientation (For Teens)', u'Talking to Your Doctor (For Teens)', u'The Teen Brain: 6 Things to Know', u""What's the Right Weight for My Height? (For Teens)"", u'Why Are My Breasts Different Sizes? (For Teens)', u'Why Are My Breasts Sore? (For Teens)', u'Why Is My Voice Changing? (For Teens)', u'Adolescent development', u'Puberty', u'Teen Health', u'Teen Sexual Health']"
316,Agoraphobia,National Institute of Mental Health,Mental Health and Behavior,Phobias,"[u'Agoraphobia', u'Fear of Public Speaking: How Can I Overcome It?', u'Social Anxiety Disorder (Social Phobia)', u'Social Anxiety Disorder: More Than Just Shyness', u'Specific Phobias', u'Agoraphobia', u'Phobia - simple/specific', u'Social phobia', u'Anxiety', u'Panic Disorder']"
317,Alzheimer's Disease,National Institute on Aging,Mental Health and Behavior,Alzheimer's Disease,"[u""Rapidly Progressing Alzheimer's: Something Else?"", u""Seven Stages of Alzheimer's"", u'Alzheimer disease', u""Alzheimer's disease"", u'Brain PET scan', u'Dementia - home care', u'Mental status testing', u""Alzheimer's Caregivers"", u'Caregivers', u'Dementia', u'Memory', u'Mild Cognitive Impairment']"
318,Amnesia,National Institute of Neurological Disorders and Stroke,Mental Health and Behavior,Memory,"[u'Agnosia', u'Amnesia', u'Brain Fog', u'Dissociative Disorders', u'Prosopagnosia', u'Right Hemisphere Brain Damage', u'Transient Global Amnesia', u'Memory loss', u'Mental status testing', u'Remembering tips', u""Alzheimer's Disease"", u'Dementia', u'Mild Cognitive Impairment']"
319,Anorexia Nervosa,National Institute of Mental Health,Mental Health and Behavior,Eating Disorders,"[u'Anorexia Nervosa', u'Avoidant/Restrictive Food Intake Disorder', u'Binge Eating Disorder', u'Binge Eating Disorder', u'Bulimia Nervosa', u'Pica', u'Anorexia nervosa', u'Binge eating disorder', u'Break the Bonds of Emotional Eating', u'Bulimia', u'Pica', u'Rumination disorder', u'Weight Control']"
320,Antidepressants,National Institute of Mental Health,Mental Health and Behavior,Antidepressants,"[u'Atypical Antidepressants', u'Monoamine Oxidase Inhibitors (MAOIs)', u'Selective Serotonin Reuptake Inhibitors (SSRIs)', u'Serotonin and Norepinephrine Reuptake Inhibitors (SNRIs)', u'Tricyclic Antidepressants and Tetracyclic Antidepressants', u'Amitriptyline and perphenazine overdose', u'Amitriptyline hydrochloride overdose', u'Depression - stopping your medicines', u'Desipramine hydrochloride overdose', u'Doxepin overdose', u'Imipramine overdose', u'Norpramin overdose', u'Serotonin syndrome', u'Trazodone hydrochloride overdose', u'Depression']"
321,Antisocial Personality Disorder,National Institute of Mental Health,Mental Health and Behavior,Personality Disorders,"[u'Borderline Personality Disorder', u'Borderline Personality Disorder', u'Narcissistic Personality Disorder', u'Paranoia and Delusional Disorders', u'Schizoid Personality Disorder', u'Schizotypal Personality Disorder', u'Antisocial personality disorder', u'Avoidant personality disorder', u'Borderline personality disorder', u'Dependent personality disorder', u'Histrionic personality disorder', u'Narcissistic personality disorder', u'Obsessive-compulsive personality disorder', u'Paranoid personality disorder', u'Personality disorders', u'Schizoid personality disorder', u'Schizotypal personality disorder', u'Mental Disorders', u'Obsessive-Compulsive Disorder']"
322,Anxiety,National Institute of Mental Health,Mental Health and Behavior,Anxiety,"[u'Generalized Anxiety Disorder', u'Generalized Anxiety Disorder: When Worry Gets Out of Control', u'Agitation', u'Generalized anxiety disorder', u'Generalized anxiety disorder - children', u'Generalized anxiety disorder -- self-care', u'Hyperventilation', u'Palliative care - fear and anxiety', u'Separation anxiety in children', u'Stress and your health', u'Obsessive-Compulsive Disorder', u'Panic Disorder', u'Phobias', u'Stress']"
323,Asperger Syndrome,National Institute of Mental Health,Mental Health and Behavior,Autism Spectrum Disorder,"[u'Asperger Syndrome', u'Asperger Syndrome (For Parents)', u'Asperger syndrome', u'Autism', u'Childhood disintegrative disorder', u'Child Behavior Disorders', u'Child Development', u'Fragile X Syndrome']"
324,Baby Blues,National Institute of Mental Health,Mental Health and Behavior,Postpartum Depression,"[u'Anxiety During Pregnancy and Postpartum', u'Postpartum Post-Traumatic Stress Disorder', u'Postpartum Psychosis', u'Postpartum depression', u'Depression']"
325,Bereavement,,Mental Health and Behavior,Bereavement,"[u'Children and grief', u'Grief', u'End of Life Issues']"
326,Bi-polar Disorder,National Institute of Mental Health,Mental Health and Behavior,Bipolar Disorder,"[u'Major Ups and Downs: Bipolar Disorder Brings Extreme Mood Swings', u'Rapid Cycling and Its Treatment', u'Types of Bipolar Disorder', u'What Is Bipolar Disorder? A Guide to Hope and Recovery for African Americans', u'Bipolar disorder', u'Depression']"
327,Cancer--Living with Cancer,National Cancer Institute,Mental Health and Behavior,Cancer--Living with Cancer,"[u'Cardiopulmonary Syndrome Overview', u'Chemo Brain', u'Chemotherapy Effects', u'Delirium (PDQ)', u'Depression (PDQ)', u'Diarrhea: Cancer-Related Causes and How to Cope', u'Fatigue (PDQ)', u'Gastrointestinal Complications (PDQ)', u'Hot Flashes amd Night Sweats (PDQ)', u'How Will Cancer Affect My Sex Life?', u'Low Blood Cell Counts: Side Effect of Cancer Treatment', u'Lymphedema (PDQ)', u'Mouth Sores', u'Nausea and Vomiting (PDQ)', u'Pain (PDQ)', u'Pain Control: Support for People with Cancer', u'Post-Traumatic Stress Disorder (PDQ)', u'Pruritus (PDQ)', u'Side Effects (Management)', u'Sleep Disorders (PDQ)', u'Three Good Reasons to See a Dentist Before Cancer Treatment (Pictographs)', u'Bleeding during cancer treatment', u'Cancer treatment: dealing with hot flashes and night sweats', u'Cancer treatment: dealing with pain', u'Cancer treatment: fertility and sexual side effects in women', u'Coping with cancer -- finding the support you need', u'Coping with cancer -- hair loss', u'Coping with cancer -- looking and feeling your best', u'Coping with cancer -- managing fatigue', u'Dealing with chronic cancer', u'Dry mouth during cancer treatment', u'Lactic acidosis', u'Returning to work after cancer: know your rights', u'Safe drinking during cancer treatment', u'Safe eating during cancer treatment', u'Working during cancer treatment', u'Your cancer survivorship care plan', u'Cancer', u'Cancer Chemotherapy', u'Palliative Care']"
328,Child Behavior Disorders,National Institute of Mental Health,Mental Health and Behavior,Child Behavior Disorders,"[u'Aggressive Behavior', u'Biting', u""Children Who Won't Go to School (Separation Anxiety)"", u'Competition and Cheating', u'Conduct Disorder', u'Disobedient Child', u'Disruptive Behavior Disorders', u'Fighting and Biting', u'My Child Is Stealing', u'Oppositional Defiant Disorder (ODD)', u'Shyness in Children', u'Swearing', u'Temper Tantrums', u'Understanding Violent Behavior in Children and Adolescents', u'Conduct disorder', u'Discipline', u'Oppositional defiant disorder', u'Temper tantrums', u'Trichotillomania', u'Attention Deficit Hyperactivity Disorder', u'Child Development', u'Child Mental Health', u'Self-harm', u'Teen Development']"
